# Spectral Data
# f in Hz	A in dBV
423.339844	-13.760596
424.804687	-13.852690
426.269531	-13.882372
427.734375	-13.967003
429.199219	-13.952240
430.664062	-13.958593
432.128906	-13.940959
433.593750	-13.920369
435.058594	-14.077551
436.523437	-14.085618
437.988281	-13.987619
439.453125	-14.058280
440.917969	-14.039791
442.382812	-14.020542
443.847656	-14.034685
445.312500	-14.111110
446.777344	-14.011365
448.242187	-13.940684
449.707031	-13.877252
451.171875	-13.867204
452.636719	-13.768257
454.101562	-13.635400
455.566406	-13.630890
457.031250	-13.805010
458.496094	-13.868275
459.960937	-13.860595
461.425781	-13.840017
462.890625	-13.816070
464.355469	-13.876384
465.820312	-13.956552
467.285156	-13.943902
468.750000	-13.950855
470.214844	-13.892748
471.679687	-13.914128
473.144531	-13.863533
474.609375	-13.813245
476.074219	-13.843094
477.539062	-13.910603
479.003906	-13.828617
480.468750	-13.773699
481.933594	-13.852422
483.398437	-13.953847
484.863281	-14.053369
486.328125	-14.154228
487.792969	-14.082169
489.257812	-13.932801
490.722656	-13.904415
492.187500	-13.972330
493.652344	-13.962039
495.117187	-13.891995
496.582031	-13.916584
498.046875	-13.932094
499.511719	-13.968953
500.976562	-14.005053
502.441406	-13.960970
503.906250	-13.937905
505.371094	-13.913891
506.835937	-13.938835
508.300781	-13.977814
509.765625	-14.022691
511.230469	-13.965627
512.695312	-13.926864
514.160156	-13.933059
515.625000	-13.947895
517.089844	-13.998333
518.554687	-13.971739
520.019531	-13.900779
521.484375	-13.900484
522.949219	-13.954183
524.414062	-13.962047
525.878906	-13.957507
527.343750	-13.842740
528.808594	-13.749753
530.273437	-13.736820
531.738281	-13.634728
533.203125	-13.614399
534.667969	-13.551064
536.132812	-13.424543
537.597656	-13.388279
539.062500	-13.417194
540.527344	-13.481060
541.992187	-13.482903
543.457031	-13.500980
544.921875	-13.612811
546.386719	-13.729088
547.851562	-13.834376
549.316406	-13.923878
550.781250	-14.104380
552.246094	-14.104751
553.710937	-14.045731
555.175781	-14.047586
556.640625	-14.028712
558.105469	-14.120336
559.570312	-14.260212
561.035156	-14.415240
562.500000	-14.473557
563.964844	-14.606101
565.429687	-14.777726
566.894531	-14.718391
568.359375	-14.651521
569.824219	-14.688401
571.289062	-14.700708
572.753906	-14.684234
574.218750	-14.762288
575.683594	-14.769742
577.148437	-14.796708
578.613281	-14.784035
580.078125	-14.915338
581.542969	-14.894179
583.007812	-14.922045
584.472656	-14.865683
585.937500	-14.848574
587.402344	-14.862840
588.867187	-14.873716
590.332031	-14.958536
591.796875	-14.952764
593.261719	-14.913936
594.726562	-14.879784
596.191406	-14.835877
597.656250	-14.900380
599.121094	-14.994701
600.585937	-14.988018
602.050781	-14.934947
603.515625	-14.861712
604.980469	-14.900739
606.445312	-15.008792
607.910156	-14.981795
609.375000	-14.925984
610.839844	-14.918746
612.304687	-14.926146
613.769531	-14.972978
615.234375	-14.983647
616.699219	-14.894580
618.164062	-14.832525
619.628906	-14.817901
621.093750	-14.848600
622.558594	-14.889808
624.023437	-15.018224
625.488281	-14.989369
626.953125	-14.941800
628.417969	-14.971592
629.882812	-15.012203
631.347656	-14.904622
632.812500	-14.836908
634.277344	-14.717123
635.742187	-14.611238
637.207031	-14.559779
638.671875	-14.580046
640.136719	-14.561746
641.601562	-14.560858
643.066406	-14.525311
644.531250	-14.535307
645.996094	-14.510744
647.460937	-14.533045
648.925781	-14.424588
650.390625	-14.274084
651.855469	-14.140580
653.320312	-14.078608
654.785156	-14.075319
656.250000	-14.052593
657.714844	-13.967608
659.179687	-13.961928
660.644531	-13.997948
662.109375	-13.900455
663.574219	-13.786142
665.039062	-13.574234
666.503906	-13.500298
667.968750	-13.485579
669.433594	-13.521992
670.898437	-13.501513
672.363281	-13.548009
673.828125	-13.530379
675.292969	-13.532216
676.757812	-13.577773
678.222656	-13.661015
679.687500	-13.734357
681.152344	-13.745817
682.617187	-13.785379
684.082031	-13.719110
685.546875	-13.767762
687.011719	-13.878335
688.476562	-13.958856
689.941406	-13.980743
691.406250	-13.973422
692.871094	-13.947961
694.335937	-14.011060
695.800781	-14.088566
697.265625	-14.077431
698.730469	-14.099657
700.195312	-14.161595
701.660156	-14.132828
703.125000	-14.155945
704.589844	-14.152065
706.054687	-14.217893
707.519531	-14.229022
708.984375	-14.215179
710.449219	-14.173970
711.914062	-14.192340
713.378906	-14.237679
714.843750	-14.241094
716.308594	-14.184762
717.773437	-14.214342
719.238281	-14.307736
720.703125	-14.354378
722.167969	-14.350095
723.632812	-14.392194
725.097656	-14.451879
726.562500	-14.534664
728.027344	-14.499808
729.492187	-14.578989
730.957031	-14.638200
732.421875	-14.612800
733.886719	-14.597690
735.351562	-14.596137
736.816406	-14.633672
738.281250	-14.704732
739.746094	-14.669432
741.210937	-14.658920
742.675781	-14.664105
744.140625	-14.749602
745.605469	-14.787019
747.070312	-14.761690
748.535156	-14.687252
750.000000	-14.604811
751.464844	-14.462675
752.929687	-14.312710
754.394531	-14.182331
755.859375	-14.199222
757.324219	-14.332021
758.789062	-14.552753
760.253906	-14.797493
761.718750	-14.941608
763.183594	-14.894742
764.648437	-14.802645
766.113281	-14.766381
767.578125	-14.754657
769.042969	-14.739535
770.507812	-14.746810
771.972656	-14.835113
773.437500	-14.835466
774.902344	-14.846327
776.367187	-14.888647
777.832031	-14.943249
779.296875	-14.905199
780.761719	-14.867514
782.226562	-14.886715
783.691406	-14.930276
785.156250	-14.863800
786.621094	-14.829741
788.085937	-14.818712
789.550781	-14.765984
791.015625	-14.684304
792.480469	-14.589233
793.945312	-14.561993
795.410156	-14.501649
796.875000	-14.479011
798.339844	-14.352777
799.804687	-14.266650
801.269531	-14.310967
802.734375	-14.373943
804.199219	-14.388269
805.664062	-14.387030
807.128906	-14.364608
808.593750	-14.389652
810.058594	-14.377497
811.523437	-14.443638
812.988281	-14.570382
814.453125	-14.706919
815.917969	-14.681879
817.382812	-14.769678
818.847656	-14.765961
820.312500	-14.814425
821.777344	-14.792986
823.242187	-14.835761
824.707031	-14.953809
826.171875	-15.040277
827.636719	-15.101983
829.101562	-15.065568
830.566406	-15.138078
832.031250	-15.271731
833.496094	-15.266476
834.960937	-15.233926
836.425781	-15.241400
837.890625	-15.259892
839.355469	-15.184842
840.820312	-15.204122
842.285156	-15.297683
843.750000	-15.311652
845.214844	-15.334658
