# Spectral Data
# f in Hz	A in dBV
0.000000	-13.904904
1.464844	-13.169521
2.929687	-12.600642
4.394531	-12.055813
5.859375	-11.581948
7.324219	-11.263619
8.789062	-11.083060
10.253906	-11.020023
11.718750	-11.037937
13.183594	-11.121978
14.648437	-11.273395
16.113281	-11.361768
17.578125	-11.454561
19.042969	-11.577816
20.507812	-11.657633
21.972656	-11.823273
23.437500	-11.966048
24.902344	-11.893429
26.367187	-11.887247
27.832031	-11.881115
29.296875	-11.842291
30.761719	-11.829130
32.226562	-11.909861
33.691406	-12.088780
35.156250	-12.286752
36.621094	-12.485820
38.085937	-12.636742
39.550781	-12.664127
41.015625	-12.746219
42.480469	-12.841749
43.945312	-12.880143
45.410156	-12.868937
46.875000	-12.815751
48.339844	-12.659336
49.804687	-12.546262
51.269531	-12.459333
52.734375	-12.421147
54.199219	-12.341616
55.664062	-12.271075
57.128906	-12.281917
58.593750	-12.411512
60.058594	-12.567409
61.523437	-12.580096
62.988281	-12.552867
64.453125	-12.587836
65.917969	-12.626599
67.382812	-12.633155
68.847656	-12.662151
70.312500	-12.638087
71.777344	-12.568907
73.242187	-12.493556
74.707031	-12.448161
76.171875	-12.483466
77.636719	-12.421207
79.101562	-12.419780
80.566406	-12.424040
82.031250	-12.421208
83.496094	-12.451807
84.960937	-12.548269
86.425781	-12.647350
87.890625	-12.730662
89.355469	-12.824124
90.820312	-12.931607
92.285156	-13.005186
93.750000	-12.912022
95.214844	-12.850252
96.679687	-12.781339
98.144531	-12.786551
99.609375	-12.853380
101.074219	-12.957219
102.539062	-13.077939
104.003906	-13.111190
105.468750	-13.113424
106.933594	-13.007780
108.398437	-13.021805
109.863281	-13.053731
111.328125	-13.173037
112.792969	-13.286431
114.257812	-13.274570
115.722656	-13.221969
117.187500	-13.236425
118.652344	-13.309201
120.117187	-13.253361
121.582031	-13.205024
123.046875	-13.083475
124.511719	-12.980542
125.976562	-12.910230
127.441406	-12.849318
128.906250	-12.734577
130.371094	-12.625356
131.835937	-12.524423
133.300781	-12.552064
134.765625	-12.463076
136.230469	-12.434271
137.695312	-12.370119
139.160156	-12.254588
140.625000	-12.076626
142.089844	-11.934878
143.554687	-11.755595
145.019531	-11.659439
146.484375	-11.625810
147.949219	-11.636002
149.414062	-11.794745
150.878906	-11.933008
152.343750	-12.066099
153.808594	-12.251609
155.273437	-12.458943
156.738281	-12.483746
158.203125	-12.568028
159.667969	-12.706144
161.132812	-12.893959
162.597656	-13.074032
164.062500	-13.121111
165.527344	-13.217135
166.992187	-13.196149
168.457031	-13.250810
169.921875	-13.251318
171.386719	-13.337879
172.851562	-13.439434
174.316406	-13.418440
175.781250	-13.397031
177.246094	-13.389359
178.710937	-13.448602
180.175781	-13.436551
181.640625	-13.547712
183.105469	-13.616942
184.570312	-13.568167
186.035156	-13.577098
187.500000	-13.511832
188.964844	-13.491570
190.429687	-13.472631
191.894531	-13.491741
193.359375	-13.474037
194.824219	-13.403835
196.289062	-13.413304
197.753906	-13.486869
199.218750	-13.472873
200.683594	-13.525566
202.148437	-13.555800
203.613281	-13.490249
205.078125	-13.501541
206.542969	-13.461355
208.007812	-13.448070
209.472656	-13.442263
210.937500	-13.339531
212.402344	-13.322189
213.867187	-13.335381
215.332031	-13.284963
216.796875	-13.274491
218.261719	-13.370449
219.726562	-13.551844
221.191406	-13.449686
222.656250	-13.285632
224.121094	-13.152243
225.585937	-13.114664
227.050781	-13.083056
228.515625	-13.096591
229.980469	-13.076824
231.445312	-12.970513
232.910156	-12.897966
234.375000	-12.861604
235.839844	-12.926147
237.304687	-12.846774
238.769531	-12.851245
240.234375	-12.884429
241.699219	-12.948409
243.164062	-12.836808
244.628906	-12.830086
246.093750	-12.735266
247.558594	-12.683974
249.023437	-12.722326
250.488281	-12.712044
251.953125	-12.645343
253.417969	-12.636098
254.882812	-12.593551
256.347656	-12.524604
257.812500	-12.524289
259.277344	-12.577581
260.742187	-12.600801
262.207031	-12.625165
263.671875	-12.598772
265.136719	-12.630100
266.601562	-12.525083
268.066406	-12.485516
269.531250	-12.527289
270.996094	-12.583560
272.460937	-12.480161
273.925781	-12.425951
275.390625	-12.331172
276.855469	-12.273755
278.320312	-12.173958
279.785156	-12.117549
281.250000	-12.105390
282.714844	-12.096238
284.179687	-12.079797
285.644531	-11.992342
287.109375	-11.936840
288.574219	-11.910181
290.039062	-11.933257
291.503906	-12.028728
292.968750	-12.118813
294.433594	-12.285926
295.898437	-12.447707
297.363281	-12.504163
298.828125	-12.614546
300.292969	-12.787273
301.757812	-12.947110
303.222656	-13.132320
304.687500	-13.358714
306.152344	-13.455431
307.617187	-13.503751
309.082031	-13.640092
310.546875	-13.815583
312.011719	-13.928744
313.476562	-13.983959
314.941406	-14.047895
316.406250	-14.080660
317.871094	-14.093051
319.335937	-14.133274
320.800781	-14.204864
322.265625	-14.302169
323.730469	-14.327128
325.195312	-14.361040
326.660156	-14.382428
328.125000	-14.441465
329.589844	-14.522607
331.054687	-14.591852
332.519531	-14.589745
333.984375	-14.574421
335.449219	-14.631750
336.914062	-14.709506
338.378906	-14.681854
339.843750	-14.691014
341.308594	-14.725080
342.773437	-14.814716
344.238281	-14.855448
345.703125	-14.926479
347.167969	-14.830948
348.632812	-14.792800
350.097656	-14.847140
351.562500	-14.810972
353.027344	-14.795074
354.492187	-14.777948
355.957031	-14.741521
357.421875	-14.736174
358.886719	-14.761862
360.351562	-14.866782
361.816406	-14.902597
363.281250	-14.827020
364.746094	-14.774315
366.210937	-14.769552
367.675781	-14.834042
369.140625	-14.863285
370.605469	-14.787908
372.070312	-14.783498
373.535156	-14.758273
375.000000	-14.769161
376.464844	-14.876330
377.929687	-14.947133
379.394531	-15.106033
380.859375	-15.017010
382.324219	-15.048133
383.789062	-14.956780
385.253906	-14.964301
386.718750	-14.750249
388.183594	-14.638832
389.648437	-14.574509
391.113281	-14.506065
392.578125	-14.457116
394.042969	-14.479164
395.507812	-14.516599
396.972656	-14.505253
398.437500	-14.531878
399.902344	-14.450686
401.367187	-14.424026
402.832031	-14.396698
404.296875	-14.423854
405.761719	-14.308945
407.226562	-14.240587
408.691406	-14.212864
410.156250	-14.140654
411.621094	-14.011769
413.085937	-13.807578
414.550781	-13.717338
416.015625	-13.660674
417.480469	-13.649845
418.945312	-13.528067
420.410156	-13.444078
421.875000	-13.332291
423.339844	-13.183030
424.804687	-13.029197
426.269531	-12.872464
427.734375	-12.780580
429.199219	-12.757640
430.664062	-12.782895
432.128906	-12.899774
433.593750	-13.007309
435.058594	-13.076702
436.523437	-13.113523
437.988281	-13.133775
439.453125	-13.175843
440.917969	-13.221922
442.382812	-13.295810
443.847656	-13.401256
445.312500	-13.563417
446.777344	-13.650843
448.242187	-13.614210
449.707031	-13.650759
451.171875	-13.570331
452.636719	-13.504164
454.101562	-13.490541
455.566406	-13.564241
457.031250	-13.569145
458.496094	-13.572759
459.960937	-13.602608
461.425781	-13.631905
462.890625	-13.666189
464.355469	-13.657266
465.820312	-13.706815
467.285156	-13.798060
468.750000	-13.810698
470.214844	-13.712090
471.679687	-13.696570
473.144531	-13.693786
474.609375	-13.727955
476.074219	-13.739766
477.539062	-13.798748
479.003906	-13.859676
480.468750	-13.808710
481.933594	-13.844254
483.398437	-13.905788
484.863281	-13.957706
486.328125	-14.012887
487.792969	-13.998463
489.257812	-13.976236
490.722656	-14.023200
492.187500	-13.961642
493.652344	-13.985099
495.117187	-14.037178
