# Spectral Data
# f in Hz A in dBV
0.000000 -13.964561
1.464844 -13.239236
2.929687 -12.612245
4.394531 -12.078165
5.859375 -11.665936
7.324219 -11.346483
8.789062 -11.142026
10.253906 -11.046778
11.718750 -11.033173
13.183594 -11.112789
14.648437 -11.196371
16.113281 -11.310255
17.578125 -11.433792
19.042969 -11.587385
20.507812 -11.696155
21.972656 -11.778112
23.437500 -11.817888
24.902344 -11.843219
26.367187 -11.881476
27.832031 -11.914512
29.296875 -11.986504
30.761719 -12.037202
32.226562 -12.112956
33.691406 -12.224283
35.156250 -12.342316
36.621094 -12.476592
38.085937 -12.622448
39.550781 -12.753064
41.015625 -12.828958
42.480469 -12.845964
43.945312 -12.775250
45.410156 -12.756062
46.875000 -12.731981
48.339844 -12.686366
49.804687 -12.621397
51.269531 -12.550723
52.734375 -12.462351
54.199219 -12.377547
55.664062 -12.316220
57.128906 -12.334208
58.593750 -12.428612
60.058594 -12.555780
61.523437 -12.666981
62.988281 -12.692081
64.453125 -12.676200
65.917969 -12.647617
67.382812 -12.635445
68.847656 -12.606791
70.312500 -12.607663
71.777344 -12.505624
73.242187 -12.411880
74.707031 -12.384366
76.171875 -12.340773
77.636719 -12.347735
79.101562 -12.347205
80.566406 -12.366754
82.031250 -12.391607
83.496094 -12.448116
84.960937 -12.495440
86.425781 -12.605673
87.890625 -12.688489
89.355469 -12.768789
90.820312 -12.829796
92.285156 -12.882696
93.750000 -12.931387
95.214844 -12.946823
96.679687 -12.953105
98.144531 -12.920146
99.609375 -12.887767
101.074219 -12.917972
102.539062 -12.936320
104.003906 -12.954215
105.468750 -12.971167
106.933594 -13.006670
108.398437 -13.051720
109.863281 -13.096426
111.328125 -13.149712
112.792969 -13.201794
114.257812 -13.185114
115.722656 -13.173023
117.187500 -13.160639
118.652344 -13.147303
120.117187 -13.169262
121.582031 -13.180492
123.046875 -13.156921
124.511719 -13.061392
125.976562 -13.013158
127.441406 -12.958626
128.906250 -12.881823
130.371094 -12.813760
131.835937 -12.727532
133.300781 -12.644446
134.765625 -12.589304
136.230469 -12.450945
137.695312 -12.299285
139.160156 -12.159696
140.625000 -11.991990
142.089844 -11.813801
143.554687 -11.694994
145.019531 -11.681019
146.484375 -11.710899
147.949219 -11.791901
149.414062 -11.928969
150.878906 -12.134991
152.343750 -12.286345
153.808594 -12.429992
155.273437 -12.524899
156.738281 -12.661223
158.203125 -12.785867
159.667969 -12.876807
161.132812 -12.969150
162.597656 -13.063055
164.062500 -13.158512
165.527344 -13.217830
166.992187 -13.272581
168.457031 -13.353697
169.921875 -13.471714
171.386719 -13.452760
172.851562 -13.445037
174.316406 -13.474009
175.781250 -13.494293
177.246094 -13.478471
178.710937 -13.508160
180.175781 -13.491150
181.640625 -13.476193
183.105469 -13.470688
184.570312 -13.495464
186.035156 -13.525748
187.500000 -13.497832
188.964844 -13.520575
190.429687 -13.574331
191.894531 -13.603838
193.359375 -13.587276
194.824219 -13.572254
196.289062 -13.548660
197.753906 -13.518212
199.218750 -13.525149
200.683594 -13.510854
202.148437 -13.484472
203.613281 -13.476304
205.078125 -13.426886
206.542969 -13.394606
208.007812 -13.368256
209.472656 -13.346064
210.937500 -13.363227
212.402344 -13.372681
213.867187 -13.375388
215.332031 -13.330290
216.796875 -13.281652
218.261719 -13.260010
219.726562 -13.264624
221.191406 -13.248993
222.656250 -13.234090
224.121094 -13.197369
