# Spectral Data
# f in Hz A in dBV
278.320312 -11.842466
279.785156 -11.782567
281.250000 -11.756800
282.714844 -11.743747
284.179687 -11.768084
285.644531 -11.817954
287.109375 -11.945965
288.574219 -12.068538
290.039062 -12.209460
291.503906 -12.351693
292.968750 -12.506636
294.433594 -12.698414
295.898437 -12.875576
297.363281 -12.991386
298.828125 -13.103427
300.292969 -13.211968
301.757812 -13.305386
303.222656 -13.397523
304.687500 -13.512606
306.152344 -13.595349
307.617187 -13.657790
309.082031 -13.747393
310.546875 -13.828789
312.011719 -13.884169
313.476562 -13.946763
314.941406 -14.031856
316.406250 -14.105451
317.871094 -14.148585
319.335937 -14.198919
320.800781 -14.264006
322.265625 -14.335361
323.730469 -14.411113
325.195312 -14.407078
326.660156 -14.409061
328.125000 -14.440638
329.589844 -14.502999
331.054687 -14.547299
332.519531 -14.588627
333.984375 -14.677176
335.449219 -14.737485
336.914062 -14.767037
338.378906 -14.772109
339.843750 -14.762687
341.308594 -14.798371
342.773437 -14.839319
344.238281 -14.849768
345.703125 -14.879053
347.167969 -14.857178
348.632812 -14.883344
350.097656 -14.869937
351.562500 -14.808040
353.027344 -14.722796
354.492187 -14.587695
355.957031 -14.545013
357.421875 -14.594050
358.886719 -14.722840
360.351562 -14.848143
361.816406 -14.937971
363.281250 -14.992315
364.746094 -14.964892
366.210937 -14.984132
367.675781 -14.979347
369.140625 -14.942371
370.605469 -14.927236
372.070312 -14.896058
373.535156 -14.858911
375.000000 -14.818087
376.464844 -14.787880
377.929687 -14.816056
379.394531 -14.823482
380.859375 -14.778164
382.324219 -14.727102
383.789062 -14.680039
385.253906 -14.661567
386.718750 -14.618747
388.183594 -14.588863
389.648437 -14.545950
391.113281 -14.517321
392.578125 -14.469843
394.042969 -14.436206
395.507812 -14.395458
396.972656 -14.340077
398.437500 -14.272764
399.902344 -14.185261
401.367187 -14.098642
402.832031 -14.032159
404.296875 -13.943411
405.761719 -13.863742
407.226562 -13.761076
408.691406 -13.670310
410.156250 -13.535589
411.621094 -13.408093
413.085937 -13.263989
414.550781 -13.142003
416.015625 -13.014333
417.480469 -12.902884
418.945312 -12.864910
420.410156 -12.872754
421.875000 -12.882927
423.339844 -12.911610
424.804687 -13.013715
426.269531 -13.154682
427.734375 -13.264431
429.199219 -13.354050
430.664062 -13.419989
432.128906 -13.510397
433.593750 -13.559011
435.058594 -13.639254
436.523437 -13.723179
437.988281 -13.752421
439.453125 -13.750327
