# Spectral Data
# f in Hz	A in dBV
0.000000	-13.892092
1.464844	-13.210801
2.929687	-12.588208
4.394531	-12.104308
5.859375	-11.720775
7.324219	-11.402558
8.789062	-11.184009
10.253906	-11.074615
11.718750	-11.045877
13.183594	-11.081630
14.648437	-11.179550
16.113281	-11.299539
17.578125	-11.452039
19.042969	-11.578229
20.507812	-11.744428
21.972656	-11.799951
23.437500	-11.841069
24.902344	-11.867572
26.367187	-11.917150
27.832031	-11.893183
29.296875	-11.910819
30.761719	-12.010144
32.226562	-12.151694
33.691406	-12.297857
35.156250	-12.459016
36.621094	-12.579466
38.085937	-12.672488
39.550781	-12.757740
41.015625	-12.798970
42.480469	-12.841874
43.945312	-12.842399
45.410156	-12.799202
46.875000	-12.734300
48.339844	-12.650428
49.804687	-12.602080
51.269531	-12.537379
52.734375	-12.443298
54.199219	-12.315604
55.664062	-12.291384
57.128906	-12.297759
58.593750	-12.394549
60.058594	-12.489862
61.523437	-12.543637
62.988281	-12.588506
64.453125	-12.647370
65.917969	-12.624368
67.382812	-12.571789
68.847656	-12.558768
70.312500	-12.469206
71.777344	-12.433612
73.242187	-12.453265
74.707031	-12.428909
76.171875	-12.381858
77.636719	-12.333929
79.101562	-12.351661
80.566406	-12.376663
82.031250	-12.364808
83.496094	-12.414206
84.960937	-12.493181
86.425781	-12.608746
87.890625	-12.677730
89.355469	-12.741592
90.820312	-12.797685
92.285156	-12.835456
93.750000	-12.808289
95.214844	-12.821417
96.679687	-12.862194
98.144531	-12.893399
99.609375	-12.908582
101.074219	-12.927503
102.539062	-12.943573
104.003906	-12.958716
105.468750	-12.988321
106.933594	-13.073025
108.398437	-13.115254
109.863281	-13.167889
111.328125	-13.243827
112.792969	-13.279387
114.257812	-13.228087
115.722656	-13.207207
117.187500	-13.137892
118.652344	-13.081193
120.117187	-13.033896
121.582031	-13.010873
123.046875	-12.968644
124.511719	-12.974685
125.976562	-12.955251
127.441406	-12.921258
128.906250	-12.860324
130.371094	-12.734581
131.835937	-12.630744
133.300781	-12.535383
134.765625	-12.383585
136.230469	-12.246485
137.695312	-12.082776
139.160156	-11.899112
140.625000	-11.782601
142.089844	-11.733572
143.554687	-11.712957
145.019531	-11.741596
146.484375	-11.835948
147.949219	-11.970053
149.414062	-12.119168
150.878906	-12.324730
152.343750	-12.412359
153.808594	-12.494062
155.273437	-12.590889
156.738281	-12.692522
158.203125	-12.802725
159.667969	-12.932517
161.132812	-13.058000
162.597656	-13.128056
164.062500	-13.161728
165.527344	-13.243880
166.992187	-13.366450
168.457031	-13.446639
169.921875	-13.456243
171.386719	-13.458703
172.851562	-13.480361
174.316406	-13.504006
175.781250	-13.515334
177.246094	-13.513138
178.710937	-13.512810
180.175781	-13.481028
181.640625	-13.453384
183.105469	-13.458769
184.570312	-13.495607
186.035156	-13.529946
187.500000	-13.517463
188.964844	-13.539735
190.429687	-13.539893
