# Spectral Data
# f in Hz	A in dBV
0.000000	-13.845637
1.464844	-13.088928
2.929687	-12.487552
4.394531	-11.956193
5.859375	-11.532627
7.324219	-11.219287
8.789062	-11.029098
10.253906	-10.959464
11.718750	-10.963449
13.183594	-11.064873
14.648437	-11.139374
16.113281	-11.231231
17.578125	-11.306855
19.042969	-11.441749
20.507812	-11.509028
21.972656	-11.564013
23.437500	-11.599294
24.902344	-11.611793
26.367187	-11.591820
27.832031	-11.597961
29.296875	-11.633078
30.761719	-11.688168
32.226562	-11.792487
33.691406	-11.947671
35.156250	-12.105735
36.621094	-12.296936
38.085937	-12.440178
39.550781	-12.524940
41.015625	-12.590731
42.480469	-12.664031
43.945312	-12.659126
45.410156	-12.600547
46.875000	-12.524998
48.339844	-12.429365
49.804687	-12.370833
51.269531	-12.321250
52.734375	-12.265648
54.199219	-12.193185
55.664062	-12.139367
57.128906	-12.155751
58.593750	-12.256134
60.058594	-12.359106
61.523437	-12.468442
62.988281	-12.522492
64.453125	-12.533764
65.917969	-12.516911
67.382812	-12.462909
68.847656	-12.408586
70.312500	-12.345712
71.777344	-12.258651
73.242187	-12.200916
74.707031	-12.135249
76.171875	-12.118023
77.636719	-12.091574
79.101562	-12.094173
80.566406	-12.130064
82.031250	-12.180158
83.496094	-12.232008
84.960937	-12.322847
86.425781	-12.427347
87.890625	-12.541159
89.355469	-12.678436
90.820312	-12.744004
92.285156	-12.778161
93.750000	-12.815157
95.214844	-12.815723
96.679687	-12.791711
98.144531	-12.793728
99.609375	-12.787673
101.074219	-12.792380
102.539062	-12.838746
104.003906	-12.837577
105.468750	-12.854905
106.933594	-12.866493
108.398437	-12.894294
109.863281	-12.934398
111.328125	-12.909145
112.792969	-12.880447
114.257812	-12.878889
115.722656	-12.887172
117.187500	-12.924330
118.652344	-12.874154
120.117187	-12.771505
121.582031	-12.683303
123.046875	-12.616500
124.511719	-12.498552
125.976562	-12.393442
127.441406	-12.285095
128.906250	-12.137004
130.371094	-11.973530
131.835937	-11.796344
133.300781	-11.648126
134.765625	-11.520562
136.230469	-11.453027
137.695312	-11.469786
139.160156	-11.585625
140.625000	-11.752429
142.089844	-11.949923
143.554687	-12.192667
145.019531	-12.408609
146.484375	-12.604097
147.949219	-12.675860
149.414062	-12.764159
150.878906	-12.834516
152.343750	-12.874702
153.808594	-12.862474
155.273437	-12.865949
156.738281	-12.922241
158.203125	-13.027744
159.667969	-13.187460
161.132812	-13.286355
162.597656	-13.387026
164.062500	-13.437584
165.527344	-13.512292
166.992187	-13.559034
168.457031	-13.571206
169.921875	-13.606499
171.386719	-13.622466
172.851562	-13.639717
174.316406	-13.621648
175.781250	-13.643245
177.246094	-13.603829
178.710937	-13.603671
180.175781	-13.627501
181.640625	-13.594675
183.105469	-13.593166
184.570312	-13.592601
186.035156	-13.566002
187.500000	-13.579392
188.964844	-13.563857
190.429687	-13.552470
191.894531	-13.560878
193.359375	-13.564880
194.824219	-13.570430
196.289062	-13.534955
197.753906	-13.500838
199.218750	-13.513006
200.683594	-13.507678
202.148437	-13.444830
203.613281	-13.370993
205.078125	-13.291755
206.542969	-13.247786
208.007812	-13.227698
209.472656	-13.194717
210.937500	-13.182857
212.402344	-13.154425
213.867187	-13.117000
215.332031	-13.053043
216.796875	-13.039621
218.261719	-13.002926
219.726562	-12.975222
221.191406	-12.971189
222.656250	-12.893127
224.121094	-12.848768
225.585937	-12.830488
227.050781	-12.810252
228.515625	-12.769749
229.980469	-12.737457
231.445312	-12.673939
232.910156	-12.633810
234.375000	-12.574101
235.839844	-12.527854
237.304687	-12.481818
238.769531	-12.430734
240.234375	-12.427523
241.699219	-12.370658
243.164062	-12.342470
244.628906	-12.303308
246.093750	-12.258272
247.558594	-12.201188
249.023437	-12.165037
250.488281	-12.119416
251.953125	-12.077951
253.417969	-12.046904
254.882812	-11.965291
