# Spectral Data
# f in Hz A in dBV
0.000000 -14.164919
1.464844 -13.423461
2.929687 -12.795189
4.394531 -12.245261
5.859375 -11.730946
7.324219 -11.329506
8.789062 -11.085836
10.253906 -10.961078
11.718750 -10.973411
13.183594 -11.064258
14.648437 -11.258652
16.113281 -11.375012
17.578125 -11.516236
19.042969 -11.597615
20.507812 -11.773958
21.972656 -11.891120
23.437500 -11.958305
24.902344 -11.977169
26.367187 -11.933453
27.832031 -11.946653
29.296875 -12.067268
30.761719 -12.043032
32.226562 -12.130557
33.691406 -12.287193
35.156250 -12.452247
36.621094 -12.543868
38.085937 -12.618053
39.550781 -12.772086
41.015625 -12.893981
42.480469 -12.850435
43.945312 -12.752557
45.410156 -12.653793
46.875000 -12.621641
48.339844 -12.543832
49.804687 -12.496791
51.269531 -12.436894
52.734375 -12.362595
54.199219 -12.259872
55.664062 -12.163448
57.128906 -12.168667
58.593750 -12.270183
60.058594 -12.374486
61.523437 -12.471527
62.988281 -12.556238
64.453125 -12.559223
65.917969 -12.538605
67.382812 -12.537811
68.847656 -12.462484
70.312500 -12.460954
71.777344 -12.368802
73.242187 -12.301627
74.707031 -12.284165
76.171875 -12.233723
77.636719 -12.215283
79.101562 -12.245056
80.566406 -12.357830
82.031250 -12.370201
83.496094 -12.417120
84.960937 -12.449146
86.425781 -12.496071
87.890625 -12.546374
89.355469 -12.652713
90.820312 -12.725718
92.285156 -12.726218
93.750000 -12.755596
95.214844 -12.835961
96.679687 -12.832034
98.144531 -12.833287
99.609375 -12.847665
101.074219 -12.808451
102.539062 -12.823208
104.003906 -12.833791
105.468750 -12.871948
106.933594 -12.967018
108.398437 -12.999821
109.863281 -13.033468
111.328125 -13.055743
112.792969 -13.065415
114.257812 -13.051182
115.722656 -13.015323
117.187500 -13.033619
118.652344 -12.974896
120.117187 -12.933172
121.582031 -12.963765
123.046875 -12.965085
124.511719 -12.859611
125.976562 -12.738025
127.441406 -12.690433
128.906250 -12.661973
130.371094 -12.560732
131.835937 -12.429006
133.300781 -12.285832
134.765625 -12.138548
136.230469 -11.972467
137.695312 -11.806641
139.160156 -11.721522
140.625000 -11.647183
142.089844 -11.678916
143.554687 -11.786087
145.019531 -11.993779
146.484375 -12.214814
147.949219 -12.413501
149.414062 -12.572942
150.878906 -12.668970
152.343750 -12.722298
153.808594 -12.731719
155.273437 -12.746778
156.738281 -12.780426
158.203125 -12.911675
159.667969 -13.095085
161.132812 -13.229077
162.597656 -13.296058
164.062500 -13.370670
165.527344 -13.432754
166.992187 -13.455957
168.457031 -13.516274
169.921875 -13.543134
171.386719 -13.598570
172.851562 -13.619785
174.316406 -13.623000
175.781250 -13.632694
177.246094 -13.644167
178.710937 -13.613107
180.175781 -13.608400
181.640625 -13.610685
183.105469 -13.615313
184.570312 -13.600286
186.035156 -13.577838
187.500000 -13.594874
188.964844 -13.566325
190.429687 -13.546297
191.894531 -13.537756
193.359375 -13.521826
194.824219 -13.499905
196.289062 -13.458123
197.753906 -13.422541
199.218750 -13.388340
200.683594 -13.372364
202.148437 -13.329200
203.613281 -13.289784
205.078125 -13.278719
206.542969 -13.292925
208.007812 -13.330059
209.472656 -13.353241
210.937500 -13.299781
212.402344 -13.246850
213.867187 -13.249435
215.332031 -13.230795
216.796875 -13.233479
218.261719 -13.247204
219.726562 -13.160436
221.191406 -13.073816
222.656250 -13.038491
224.121094 -13.022263
225.585937 -13.026715
227.050781 -13.024103
228.515625 -13.043439
229.980469 -13.050436
231.445312 -12.918389
232.910156 -12.858723
234.375000 -12.861137
235.839844 -12.740974
237.304687 -12.672960
238.769531 -12.621315
240.234375 -12.595089
241.699219 -12.646465
243.164062 -12.703273
